Store,Item,Price
noFrills,Apple,0.5
noFrills,Banana,0.25
noFrills,Bread,2.0
noFrills,Milk,1.5
noFrills,Eggs,1.75
noFrills,Cheese,3.0
noFrills,Chicken Breast,5.0
noFrills,Pasta,1.0
noFrills,Rice,1.25
noFrills,Cereal,2.5
noFrills,Yogurt,1.0
noFrills,Orange Juice,2.2
noFrills,Carrot,0.3
noFrills,Broccoli,0.75
noFrills,Potato,0.4
noFrills,Onion,0.35
noFrills,Tomato,0.6
noFrills,Cucumber,0.5
noFrills,Spinach,1.0
noFrills,Ground Beef,4.5
noFrills,Salmon,7.0
noFrills,Salt,0.5
noFrills,Pepper,0.6
noFrills,Garlic,0.4
noFrills,Olive Oil,3.0
noFrills,Flour,1.2
noFrills,Sugar,1.0
noFrills,Rosemary,0.8
noFrills,Thyme,0.7
noFrills,Oregano,0.6
noFrills,Basil,0.6
noFrills,Cumin,0.5
noFrills,Paprika,0.7
FoodBasic,Apple,0.6
FoodBasic,Banana,0.3
FoodBasic,Bread,2.2
FoodBasic,Milk,1.6
FoodBasic,Eggs,2.0
FoodBasic,Cheese,3.2
FoodBasic,Chicken Breast,5.5
FoodBasic,Pasta,1.2
FoodBasic,Rice,1.4
FoodBasic,Cereal,2.8
FoodBasic,Yogurt,1.2
FoodBasic,Orange Juice,2.5
FoodBasic,Carrot,0.35
FoodBasic,Broccoli,0.8
FoodBasic,Potato,0.45
FoodBasic,Onion,0.4
FoodBasic,Tomato,0.65
FoodBasic,Cucumber,0.55
FoodBasic,Spinach,1.2
FoodBasic,Ground Beef,4.8
FoodBasic,Salmon,6.5
FoodBasic,Salt,0.55
FoodBasic,Pepper,0.65
FoodBasic,Garlic,0.45
FoodBasic,Olive Oil,3.2
FoodBasic,Flour,1.3
FoodBasic,Sugar,1.1
FoodBasic,Rosemary,0.9
FoodBasic,Thyme,0.8
FoodBasic,Oregano,0.7
FoodBasic,Basil,0.7
FoodBasic,Cumin,0.6
FoodBasic,Paprika,0.8
Fortinos,Apple,0.7
Fortinos,Banana,0.35
Fortinos,Bread,2.5
Fortinos,Milk,1.8
Fortinos,Eggs,2.25
Fortinos,Cheese,3.5
Fortinos,Chicken Breast,6.0
Fortinos,Pasta,1.25
Fortinos,Rice,1.6
Fortinos,Cereal,3.0
Fortinos,Yogurt,1.3
Fortinos,Orange Juice,2.8
Fortinos,Carrot,0.4
Fortinos,Broccoli,0.9
Fortinos,Potato,0.5
Fortinos,Onion,0.45
Fortinos,Tomato,0.7
Fortinos,Cucumber,0.6
Fortinos,Spinach,1.3
Fortinos,Ground Beef,5.0
Fortinos,Salmon,7.5
Fortinos,Salt,0.6
Fortinos,Pepper,0.7
Fortinos,Garlic,0.5
Fortinos,Olive Oil,3.5
Fortinos,Flour,1.4
Fortinos,Sugar,1.2
Fortinos,Rosemary,1.0
Fortinos,Thyme,0.9
Fortinos,Oregano,0.8
Fortinos,Basil,0.8
Fortinos,Cumin,0.7
Fortinos,Paprika,0.9
